Year,Month,Day,Period,R1,R2,R3
2024,3,15,1,2410.105044,666.4486542,959.8274811
2024,3,15,2,2261.025057,642.7338235,917.425184
2024,3,15,3,2225.984213,640.3826654,937.6727571
2024,3,15,4,2224.458323,634.5163413,973.9178399
2024,3,15,5,2195.968574,628.0589576,978.901515
2024,3,15,6,2304.516287,670.8235318,1082.716616
2024,3,15,7,1915.595895,542.544829,953.6587414
2024,3,15,8,1489.097586,439.0540088,762.5844353
2024,3,15,9,1442.332018,436.7800174,718.9968398
2024,3,15,10,1549.01889,479.9212972,746.1969015
2024,3,15,11,1590.507879,499.1111121,744.7404597
2024,3,15,12,1621.378025,509.4019555,747.2088575
2024,3,15,13,1644.76165,513.3301994,748.8845982
2024,3,15,14,1678.475434,518.9433026,760.1258368
2024,3,15,15,1712.634572,527.2160933,781.8262354
2024,3,15,16,1774.862067,539.5404029,827.7518853
2024,3,15,17,2030.021884,606.1936506,964.9698879
2024,3,15,18,3101.64723,904.8690228,1531.772522
2024,3,15,19,3396.739454,989.0663165,1725.519009
2024,3,15,20,3216.189712,918.3629622,1478.761948
2024,3,15,21,3033.88894,923.5235213,1230.528292
2024,3,15,22,2819.303106,858.7287509,1044.267131
2024,3,15,23,2630.298012,782.1379426,948.9042512
2024,3,15,24,2441.472297,719.843246,953.6942197
