unit_name,offer_number,Offer,b,t_s,t_e,P_min,P_max,Ramp_up,Ramp_down,Phi
Solar1,1,100,10,1,24,0,746.76,10,10,Solar1_CV
Solar2,1,100,87,1,12,0,746.76,10,10,Solar2_CV
Solar2,2,100,87,14,20,0,746.76,10,10,Solar2_CV
Solar3,1,100,89,1,24,0,746.76,10,10,Solar3_CV
Solar4,1,100,72,1,24,0,746.76,10,10,Solar4_CV
Solar5,1,100,70,1,24,0,746.76,10,10,Solar5_CV
Solar6,1,100,10,1,24,0,369.26,10,10,Solar6_CV
Solar7,1,100,87,1,24,0,369.26,10,10,Solar7_CV
Solar8,1,100,92,1,24,0,369.26,10,10,Solar8_CV
Solar9,1,100,92,1,24,0,369.26,10,10,Solar9_CV
Solar10,1,100,91,1,24,0,99.9,10,10,Solar10_CV
Solar11,1,100,100,1,24,0,99.9,10,10,Solar11_CV
Solar12,1,100,100,1,24,0,99.9,10,10,Solar12_CV
Solar13,1,100,77,1,24,0,60,10,10,Solar13_CV
Solar14,1,100,99,1,24,0,60,10,10,Solar14_CV
Solar15,1,100,19,1,24,0,64.8,10,10,Solar15_CV
Solar16,1,100,24,1,24,0,64.8,10,10,Solar16_CV
Solar17,1,100,26,1,24,0,64.8,10,10,Solar17_CV
Solar18,1,100,10,1,24,0,64.8,10,10,Solar18_CV
Solar19,1,100,76,1,24,0,64.8,10,10,Solar19_CV
Solar20,1,100,56,1,24,0,96,10,10,Solar20_CV
Solar21,1,100,69,1,24,0,96,10,10,Solar21_CV
Solar22,1,100,49,1,24,0,150,10,10,Solar22_CV
Solar23,1,100,12,1,24,0,150,10,10,Solar23_CV
Wind1,1,100,24,1,24,0,115,10,10,Wind1_CV
Wind2,1,100,24,1,24,0,380,10,10,Wind2_CV
Wind3,1,100,24,1,24,0,100,10,10,Wind3_CV
Wind4,1,100,24,1,24,0,50,10,10,Wind4_CV
Wind5,1,100,24,1,24,0,11,10,10,Wind5_CV
Wind6,1,100,27,1,24,0,241,10,10,Wind6_CV
Wind7,1,100,27,1,24,0,166,10,10,Wind7_CV
Wind8,1,100,27,1,24,0,166,10,10,Wind8_CV
Wind9,1,100,27,1,24,0,166,10,10,Wind9_CV
Wind10,1,100,27,1,24,0,166,10,10,Wind10_CV
Wind11,1,100,27,1,24,0,166,10,10,Wind11_CV
Wind12,1,100,31,1,24,0,97.5,10,10,Wind12_CV
Wind13,1,100,56,1,24,0,97.5,10,10,Wind13_CV
Wind14,1,100,76,1,24,0,97.5,10,10,Wind14_CV
Wind15,1,100,99,1,24,0,97.5,10,10,Wind15_CV
Wind16,1,100,69,1,24,0,97.5,10,10,Wind16_CV
Wind17,1,100,36,1,24,0,97.5,10,10,Wind17_CV
Wind18,1,100,10,1,24,0,97.5,10,10,Wind18_CV
Wind19,1,100,49,1,24,0,97.5,10,10,Wind19_CV
Wind20,1,100,31,1,24,0,58.7,10,10,Wind20_CV
Wind21,1,100,103,1,24,0,58.7,10,10,Wind21_CV
Wind22,1,100,12,1,24,0,58.7,10,10,Wind22_CV
Wind23,1,100,55,1,24,0,58.7,10,10,Wind23_CV
Wind24,1,100,49,1,24,0,58.7,10,10,Wind24_CV
Wind25,1,100,54,1,24,0,58.7,10,10,Wind25_CV
Wind26,1,100,82,1,24,0,50,10,10,Wind26_CV
Wind27,1,100,116,1,24,0,50,10,10,Wind27_CV
Wind28,1,100,82,1,24,0,149.5,10,10,Wind28_CV
Wind29,1,100,59,1,24,0,149.5,10,10,Wind29_CV
Wind30,1,100,80,1,24,0,149.5,10,10,Wind30_CV
Wind31,1,100,25,1,24,0,149.5,10,10,Wind31_CV
Wind32,1,100,26,1,24,0,149.5,10,10,Wind32_CV
Wind33,1,100,26,1,24,0,149.5,10,10,Wind33_CV
Wind34,1,100,26,1,24,0,149.5,10,10,Wind34_CV
